pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,random_trial.started,Fixation_2.started,Line1.started,Line2.started,Line3.started,Line4.started,Fixation_2.stopped,Probe_2.started,Key_Resp.started,random_trial.stopped,Key_Resp.keys,Key_Resp.corr,Key_Resp.rt,Key_Resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-150,z,9,3,39,3,,,,,124.35894920001738,,124.34610800002702,124.35894920001738,125.35990909999236,125.35990909999236,125.35990909999236,125.35990909999236,125.35990909999236,126.35849539999617,126.35849539999617,126.69377439998789,z,1,0.3250812999904156,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
-50,x,10,0,40,0,,,,,126.70868049998535,,126.69573420000961,126.70868049998535,127.70924110000487,127.70924110000487,127.70924110000487,127.70924110000487,127.70924110000487,128.70839879999403,128.70839879999403,129.04395740001928,x,1,0.32232310000108555,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
150,v,10,1,41,1,,,,,129.05898949998664,,129.04586690000724,129.05898949998664,130.0596664000186,130.0596664000186,130.0596664000186,130.0596664000186,130.0596664000186,131.05949740001233,131.05949740001233,131.56047969998326,v,1,0.4919833000167273,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
50,c,10,2,42,2,,,,,131.57558800000697,,131.56223360000877,131.57558800000697,132.5754826000193,132.5754826000193,132.5754826000193,132.5754826000193,132.5754826000193,133.57529060001252,133.57529060001252,133.84348069998669,c,1,0.25832369999261573,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
-150,z,10,3,43,3,,,,,133.85865920002107,,133.84536119998666,133.85865920002107,134.85913270001765,134.85913270001765,134.85913270001765,134.85913270001765,134.85913270001765,135.85868439998012,135.85868439998012,136.14455109997652,z,1,0.2816247000009753,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
-50,x,11,0,44,0,,,,,136.15863399999216,,136.1465929999831,136.15863399999216,137.15901659999508,137.15901659999508,137.15901659999508,137.15901659999508,137.15901659999508,138.15872000000672,138.15872000000672,138.41062310000416,x,1,0.2386440999689512,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
150,v,11,1,45,1,,,,,138.4253276999807,,138.41277260001516,138.4253276999807,139.42590269999346,139.42590269999346,139.42590269999346,139.42590269999346,139.42590269999346,140.42530370003078,140.42530370003078,141.29144080000697,v,1,0.8359319000155665,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
50,c,11,2,46,2,,,,,141.30877050000709,,141.293548799993,141.30877050000709,142.29254920000676,142.29254920000676,142.29254920000676,142.29254920000676,142.30949190002866,143.29188869998325,143.29188869998325,143.57827669999097,c,1,0.2839695000438951,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
-150,z,11,3,47,3,,,,,143.59186039998895,,143.5802067000186,143.59186039998895,144.5923912000144,144.5923912000144,144.5923912000144,144.5923912000144,144.5923912000144,145.5918920999975,145.5918920999975,146.09386319998885,z,1,0.490482900000643,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
-50,x,12,0,48,0,,,,,146.1086484999978,,146.09589190001134,146.1086484999978,147.10925500001758,147.10925500001758,147.10925500001758,147.10925500001758,147.10925500001758,148.10939479997614,148.10939479997614,149.06096839997917,x,1,0.9474461000063457,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
150,v,12,1,49,1,,,,,149.07519790000515,,149.06300149997696,149.07519790000515,150.07427819998702,150.07427819998702,150.07427819998702,150.07427819998702,150.09279750002315,151.07521929999348,151.07521929999348,151.79426410002634,v,1,0.7141527000349015,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
50,c,12,2,50,2,,,,,151.808682199975,,151.7961987000308,151.808682199975,152.80952559999423,152.80952559999423,152.80952559999423,152.80952559999423,152.80952559999423,153.80961719999323,153.80961719999323,154.3273893999867,c,1,0.5112685000058264,None,,,,,,,,,,,,,,,066450,001,2024-10-14_22h17.51.370,motor sequence,2024.1.5,None,2024-10-14 22h17.54.250816 +0530,
